Volume(m^3),Weight(Kg),Power Consumption(kW),Airflow(CMH),Refrigerant Charge(KG),Capcity(kW)
1.86285321,292.077122,14.22107308,16446,10.2791262,50
1.919303018,292.4719991,15.53249931,18181,9.213028963,56
1.291312372,184.7943966,5.68238289,7466,6.240843704,16
1.683693398,194.2862238,9.005024411,10261,6.748415017,28
1.710511779,194.0848766,7.251044247,11036,6.610030129,33.5
1.842620266,285.499017,10.54796216,14370,9.063771903,40
1.700656447,288.6556302,11.54266821,14513,11.09765111,45
1.826709403,174.5821335,5.281612284,7499,5.663910551,16
1.392701354,177.4642251,5.90669662,11121,3.509336147,22.4
1.580314609,184.24917,8.437981311,10916,7.477494819,28
1.650774207,188.1134569,7.777527954,11750,5.889186362,33.5
2.113276366,216.7628188,7.917225587,15898,7.494356037,40
1.900164246,262.200721,11.96596709,15733,9.205502483,45
2.081029564,259.6099452,15.97009577,15804,8.476761746,50
1.576754096,218.592196,6.47147336,11124,5.961328239,25.2
1.607120239,238.8334807,8.719811306,11180,13.26048332,33.5
2.229672393,296.6275648,11.61918991,14319,12.74621532,40
1.802691607,299.3998143,13.10783761,14381,17.8081918,45
2.140293373,340.7158502,13.60570938,15691,12.15164096,56
2.253799911,340.0218299,18.47118604,16092,17.07771544,61.5
1.625966817,231.9685942,4.37435145,11530,9.613873742,25.2
1.534682029,227.2040539,6.088646458,11221,11.06599177,28
1.475863844,225.8964809,9.246813994,11442,12.93543799,33.5
2.306673876,277.2490818,7.857593519,13391,15.70270362,40
2.24121029,281.1999372,11.85743617,13460,8.08400571,45
2.498009069,346.1065927,9.191472104,17515,17.98406449,50
2.390914452,351.503819,19.96397853,17394,15.3715742,56
2.275835063,346.3065296,18.54703194,17586,16.54542265,61.5
3.151960123,428.7663523,14.77962153,25403,21.91732245,67
2.920166018,429.4943683,21.08227006,25236,19.62889116,73
3.08509802,429.044979,22.19707684,25454,23.26446374,78.5
3.001982461,475.4031682,24.82560029,24357,27.68961426,85
1.477382446,220.1708994,4.848232609,11924,5.344635487,22.4
1.500124214,225.7904034,8.44375891,11865,5.850473831,28
1.82084816,285.3054238,12.5581983,11762,5.508056322,33.5
2.178669482,362.2765317,8.963000534,14466,8.907443629,40
2.238208285,358.9243154,15.02380725,14476,10.16670723,45
2.300505191,359.9764051,17.58939463,23373,7.515924804,50.4
1.970735696,382.508543,20.00631516,23073,13.75816085,56
2.141685227,384.7486468,16.31509876,25767,15.30191122,61.5
1.6973518,248.483515,7.413866228,11281,5.606625749,22.4
1.58354774,242.991578,6.628764826,11308,0.721860078,28
1.787203419,293.5416872,5.987461141,12225,10.22168872,33.5
1.794690877,348.1828742,8.138425132,12509,6.528430658,40
2.356473624,379.5796155,13.83833231,18157,15.65125604,50
2.463498655,403.3411419,12.24222982,21313,11.56507104,56
2.672187419,402.5237692,15.16728741,21449,7.476711662,61.5
3.743676087,577.1593783,13.74173726,24402,18.6042598,68
3.425615084,635.9228927,17.10879534,24416,17.4606002,72.5
3.168150027,696.4126505,12.7690616,24338,17.51457409,80
1.353247664,200.7877609,0.343845542,10554,7.510646303,22.4
1.341354916,200.694531,7.303689327,13788,7.683198414,33.6
2.30714378,229.5832109,10.93541646,15736,12.89065412,40
2.247939227,265.4280647,13.95409066,15662,9.909103137,45
2.154911306,296.6697839,16.81820333,17697,7.807280797,50.4
2.141148983,300.3055882,12.01554559,17822,5.106555753,56
2.256537917,299.3782259,15.41894616,17731,9.081473587,61.6
1.785878219,360.9184027,15.34971839,18945,14.17302758,67.2
2.015156265,360.6529203,21.78966817,19110,10.07395576,72.8
1.791451123,183.8881256,3.058915956,10583,5.740289919,22.4
1.485545277,201.235053,5.680251436,20707,0.598897696,28
1.70938613,214.0777318,9.657044429,13594,8.618677556,33.6
2.18507906,238.6700803,8.038532991,15738,9.165286117,40
2.132459708,269.968555,13.80627194,15740,7.690700533,45
2.180588332,307.8911084,15.24179491,17786,12.8985681,61.6
2.316478074,361.5130619,15.47094993,18980,9.961274714,67.2
2.126379714,362.1064666,17.96733088,19058,18.15333199,72.8
1.537276205,196.3827352,4.109386713,14775,7.798040091,22.4
1.66176329,214.7553311,7.346117851,14653,9.187508596,28
1.311249342,217.4703113,7.970912407,14638,9.265177848,33.6
1.915888288,237.5648284,10.07588238,19595,11.52509395,39.2
2.263876721,236.2629688,9.985011036,19723,11.47086567,44.8
1.848273832,299.8301458,9.527295547,19686,20.11457582,50.4
1.933032218,302.747558,12.19451636,19702,16.4760674,56
2.130214761,300.3353258,18.54915283,19496,12.0334436,61.6
1.830095647,309.2218087,16.69818669,19600,15.23742569,67.2
2.214769921,312.0397168,24.06811867,19490,15.89857286,72.8
1.634828803,190.2660544,5.655396447,10201,5.704288348,22.4
1.535103568,187.858764,8.469708066,10598,2.673885499,28
1.792030408,211.7096455,7.335882649,11749,8.888775203,33.5
2.127897743,267.8218449,9.994493801,14684,8.44367354,40
2.328135729,312.2312601,8.676435268,15901,10.96655801,45
2.046378205,310.7358015,13.23639906,15626,5.688896896,50
2.456256656,346.388493,14.58059417,20147,13.45629625,56
2.428995396,363.03823,10.22370807,20137,11.04216027,61.5
2.26588512,365.5746952,17.96469453,21255,15.63501433,67
0.938075813,170.0540546,5.304493078,7573,3.591198998,22.4
1.250542022,170.4594969,10.73360108,9543,1.656017466,28
1.883304684,217.0128374,6.084145555,9644,7.281456442,22.4
1.365110689,211.6180118,7.275724759,10557,7.400753504,28
1.917252696,210.1796284,10.16942475,10868,7.864780801,33.5
1.5132498,293.3349958,11.99647671,12122,10.51371044,45
1.843253184,314.0816884,17.39044941,12008,10.7956548,50
1.462089413,207.0957657,3.430424488,10501,4.823894141,22.4
1.864204971,211.0186889,9.121461274,10533,3.162279887,28
2.006777765,228.701343,7.633480451,11747,7.858939087,33.5
2.148687487,334.8415125,15.34865456,15846,9.942222059,45
2.176447769,333.5130706,14.16915724,15496,14.75542844,50
2.522504689,384.0319992,18.31267626,20171,10.59158222,56
2.396938711,394.2929917,23.18503413,20228,11.32692864,61.5
1.548495523,221.9449789,6.387531387,11452,12.88453975,28
1.485903699,222.3210262,4.778850347,12236,7.825790415,33.5
1.448978022,246.1393055,11.38886707,13799,6.436591523,40
1.844737311,246.4406504,9.781794057,13819,11.32003709,45
2.152518822,283.6791109,14.79036013,17412,7.972677974,50.4
2.030663942,367.7728721,15.95332423,17367,7.193199725,56
2.130218307,369.0712136,15.39760598,18346,7.455148607,61.5
2.163060578,369.6513131,16.45692023,18439,10.90159254,68
1.905557702,371.9144938,15.92489764,19470,10.23468431,73.5
1.744817638,255.2068823,8.783896599,11456,14.1672796,22.4
1.46488398,255.9577111,2.897406836,11479,13.1722997,28
1.869252405,281.2397378,8.605964543,13343,10.32630317,33.5
1.819167113,283.0651658,9.757945906,13434,9.871536472,40
2.229923746,277.5463467,14.22669446,14246,10.11272012,45
2.395144496,276.2268366,17.31586837,13916,11.84744683,50
1.921777731,228.3558121,7.400961522,12314,9.945821029,25
1.688804171,224.7674606,10.21147943,12327,8.967190486,28
1.465582208,225.9310896,8.337541333,12141,11.10869156,33.5
2.408128566,293.5296989,13.83350171,14327,12.26985121,40
1.795680877,288.8747451,19.28009036,14502,8.866514568,45
2.74060047,429.2276053,12.54020275,19229,12.17505334,50
1.947187795,432.3197544,16.59038187,21279,12.74039264,56
2.592928521,428.2511438,14.60905325,22448,17.56576323,61.5
1.710642806,225.406106,9.15794992,12286,10.31690294,28
2.084593979,220.7647513,6.805114321,12384,10.87669382,33.5
2.1196961,292.6332776,13.37114868,14447,12.66426395,40
2.288997233,290.4564665,12.00779736,14274,8.60930983,45
2.792314392,287.3374727,14.10144714,14151,13.5033406,50
2.87328195,428.9846946,17.9443059,26144,20.03672066,56
2.531602363,425.6993238,22.17470381,26273,16.96696214,67
2.442926499,463.9838761,22.01628546,27419,19.78869924,73
2.574779246,489.9922361,22.91677362,27422,22.56814901,78.5
2.534319914,487.6344864,27.14753005,27414,24.28430767,85
2.524787169,487.6558638,25.00631743,27479,22.67787021,90
1.75954032,225.5515711,4.537717071,12363,3.502636395,25
1.520132581,226.0971025,6.620477811,12456,6.796975489,28
1.890768641,223.2359341,5.990856117,12286,11.99382998,33.5
2.178251503,288.0100675,7.966572343,14388,10.48443886,40
2.419489829,290.1842452,12.62443393,14481,13.25620012,45
2.176621267,287.3745459,16.17862326,14466,11.41122827,50
2.378713293,428.6511626,19.50553596,26201,17.63496083,61.5
2.825293593,429.7069333,22.06886812,26297,16.41870047,67
3.362130324,450.799119,22.82036093,27483,16.97745658,73
3.273228033,487.5511157,27.41527691,27573,17.82384411,85
2.948708385,490.5855542,30.27903653,27550,23.88564348,90
2.159550153,278.2262911,6.399371444,15254,10.58826292,25.4
2.035278604,280.3669436,8.394342753,15230,9.010415872,28.9
1.856261991,278.1501808,8.053877222,15351,7.461800864,34.8
2.04893398,277.8625225,7.895292092,15406,8.506467534,41.5
2.047790775,342.7609468,14.76948588,16676,9.696944161,51.5
2.514695381,340.4614172,16.05603099,16667,13.22239323,57.8
2.392531779,370.3042208,20.2288604,16547,10.05030479,63.7
2.288336813,368.7437579,23.72036113,16541,7.515351904,70.4
0.779237565,76.25626616,1.368155436,4030,3.916728456,9
1.214412794,119.4430736,4.325974331,6989,6.265297121,15
0.473080676,118.1746155,4.867470069,6737,1.562353593,15
0.819470887,122.9608012,5.745248149,6853,5.121481869,18
1.968131648,241.341989,7.375943131,11640,9.056732266,22.6
1.894059007,237.3424161,4.266162023,11595,10.77585651,28
2.479443436,357.6401994,11.23684954,14451,7.555797274,33.5
2.361065894,362.9969846,9.093786176,14437,11.3280066,40
1.615421852,240.3724034,7.522701856,11386,12.1301201,23.9
1.834087942,241.1271707,8.466862924,11431,9.094147232,29.3
2.375906877,365.929461,9.383176697,14574,5.935811759,35.1
2.230773812,367.2142885,15.75098626,14250,7.973902394,41.7
2.279751679,367.1796455,8.901231828,14452,9.983937091,45
0.531130709,106.9390489,3.764626409,7360,4.830367007,12.1
1.228218964,107.3534111,3.060182986,7557,6.147612657,14
0.885848311,107.2302377,4.179469016,7697,4.550138543,15.5
1.397217141,149.6001803,6.925028241,10616,2.595086198,22.6
1.30446123,149.780607,10.46829997,10396,5.702211662,28
1.135152081,149.2322875,11.38115466,10386,5.811158344,31.5
1.949337337,222.5827263,3.228203525,11329,12.73925968,25.2
1.722856564,222.5891179,6.121076106,11433,7.325167808,28
1.720980972,225.3430192,11.68701427,12256,7.908436769,33.5
1.623109521,245.1383952,12.25142538,13912,11.17117118,40
1.678864605,242.2221568,15.78719852,14001,7.730752016,45
1.870121227,283.0350226,15.68238509,17362,6.214067845,50.4
2.650869648,369.9047639,16.42652836,17240,9.342546687,56
2.237096825,372.5953887,18.33463628,18412,10.38659305,61.5
2.207167124,369.4338192,21.77075322,18460,11.04123448,68
2.305211003,369.7070331,25.6995315,18216,11.33696318,73.5
1.283100443,245.4978822,8.746556161,12416,9.994266123,22.4
1.858042334,245.4057437,10.24153088,12387,10.34841262,28
1.4443819,258.0123877,9.395795266,13831,10.21363921,33.5
1.633264087,253.7579309,11.38801456,13911,7.731566382,40
2.474408137,365.9220122,15.17707233,17343,10.61186743,45
2.406378878,364.5419123,17.39390783,17352,8.883467919,50
1.743210663,372.2966744,16.64215114,19186,10.65067741,56
2.352115665,373.6700409,20.76679703,19462,9.031460144,60
1.762565153,266.3670985,9.990568488,12390,9.136325478,22.4
1.922846507,275.2190069,8.260383724,12179,11.66564073,28
1.960276478,276.0485125,8.60546033,12338,10.9612562,33.6
2.606449845,367.4079819,13.55067088,15800,13.88043487,39.2
2.326535755,381.5892372,12.30131185,17472,15.91292777,44.8
2.875386976,413.2996197,18.63429822,21269,11.88739446,56
2.448226671,410.0243862,17.81619162,21400,10.43420362,61.6
3.034153991,443.5876907,26.14578339,23731,13.62612604,78.4
1.196997236,130.0622621,8.583177799,9247,8.344198688,22.4
0.894081303,132.7435274,10.15363499,9952,4.300509952,28
1.856012202,209.6719162,4.559525136,13902,7.474337544,22.4
1.781978871,209.8464952,8.07949527,13984,4.038015402,28
2.421643521,314.5747931,7.207116705,14407,7.194825086,40
2.520606887,315.3389993,13.62596097,14315,9.744104052,45
2.965732761,376.5117994,14.85074548,24579,8.628949856,50
3.314558957,375.8220581,20.35227867,24712,9.885647358,56
2.538155852,262.0602011,2.543251519,12975,5.5000904,22.4
2.341041172,265.1112057,7.108152211,13591,9.034776047,28
2.523234128,289.1414808,11.52219972,14211,9.609192499,33.5
2.302471288,333.8186094,14.87804618,14331,7.115396867,45
1.61896614,226.1611487,2.123861515,9374,4.600019358,14
1.785521991,229.2133671,1.766158346,9359,2.137261056,16
2.076693402,242.5199532,4.326976681,10339,11.26833198,22.4
2.081719777,241.9467641,8.98458234,10891,9.091757773,28
1.718292771,240.1672629,6.858641656,12065,10.81553158,33.5
2.004098801,327.4497819,11.79525934,12410,12.8549034,40
2.301140341,330.4008088,15.4012564,13399,11.11519583,45
1.541088872,217.1424082,3.951632677,10018,5.062470302,25.2
1.895886548,218.9720779,8.108428477,10904,7.84933106,28
2.180596635,257.1452724,8.336187846,14407,12.01076377,40
1.752361821,310.2929815,10.33362523,15003,12.19539838,45
2.750084895,323.6621429,15.28437078,14889,15.29748346,50.4
2.110086493,364.4528676,18.74419036,16753,15.72737574,56
2.700570897,445.7033932,22.0576558,22267,17.64084061,68
2.343627978,455.6196187,20.78316193,22231,20.97640036,73
2.786259085,453.7024307,28.49407499,22433,18.50969565,78.5
1.701662085,224.8222846,4.880330726,11280,8.253815701,25.2
1.609594254,225.6272789,5.093612667,11460,10.18664174,28
1.459990911,236.1392625,6.5124191,11799,10.67564708,33.5
2.440509885,269.0313864,11.92676785,13923,14.98722719,40
2.225644723,266.931907,17.07534219,14585,12.54439723,45
1.989586858,329.8321083,12.30293899,15950,14.68057444,50.4
1.885888353,352.1894626,17.29811261,19423,13.01694175,56
2.087540567,350.4531897,16.61657809,19393,16.22318077,61.5
2.566131472,382.4563559,18.63157544,23279,20.77008429,68
2.661097384,403.5345001,18.57631901,26418,20.98110907,73
2.648707551,400.9539643,21.74887573,26444,22.80470444,78.5
3.425246317,500.3277638,24.84783491,27197,25.78647282,85
3.261020339,497.1347286,27.81610088,27405,20.08958367,90
3.67277671,500.9782343,27.41951755,29494,28.79061275,95
3.510391096,498.57802,33.65665791,29563,30.06811028,100
0.789000175,70.04589377,7.59481825,4942,2.271188221,11.2
0.786513039,75.56704021,4.373668376,4999,8.694749386,14
0.90394294,115.120923,6.392180602,7674,4.491199824,20
0.535144652,111.8900864,9.980450861,7749,8.484838948,22.4
0.776362141,111.906748,6.726350475,8686,9.711611233,24
1.373163832,182.8602,2.283017191,7691,5.076746197,16
1.634482439,187.6284961,6.27163517,11242,5.669481709,22.4
1.91569183,211.7631651,9.665241594,11089,10.83810695,28
2.177785066,216.6187915,7.586661681,12051,5.173859139,33.5
1.787955222,278.5003076,6.661142277,13628,7.827366871,40
1.987795639,272.3521695,6.723020912,13270,7.318322442,45
1.987790214,291.8352791,14.04142765,16510,11.56822421,50
2.068169512,293.5460568,15.97072276,18249,9.306697152,56
1.538985162,184.0340674,5.999412752,7542,7.653964006,16
1.912962673,194.1114384,8.901979324,10358,8.035354162,28
1.780698963,193.9672736,6.337404533,11123,5.539383683,33.5
1.988045555,285.688844,10.41426457,14410,8.599385651,40
1.765891639,287.369444,10.46528171,14647,11.00313171,45
1.957682858,175.314243,5.375294585,7682,5.372547476,16
1.662424087,178.4766455,5.352048174,11277,3.859480552,22.4
1.597603813,184.751599,7.549636325,11020,7.06502741,28
1.606694895,189.7997592,7.422295535,11856,5.462308245,33.5
2.174754419,217.223433,8.043339318,15940,6.788950499,40
1.95328228,262.1717192,12.81067578,15783,10.16095505,45
2.317642764,259.0553538,16.481328,15906,9.142813756,50
1.674716019,216.3252171,8.141971938,11216,5.35659927,25.2
1.799230142,237.4267822,8.492096079,11281,11.97950381,33.5
2.298348629,295.2005295,12.46654857,14478,12.78227037,40
1.980921986,299.1391921,13.19365289,14464,18.69900223,45
2.125570259,341.7264306,14.24448987,15809,12.65682978,56
2.463209382,340.3022256,19.10911668,16177,17.41462956,61.5
1.668466482,232.3808018,3.911595347,11545,10.0520959,25.2
1.42586039,227.4666053,5.119063194,11319,10.14470319,28
1.73578679,225.4814954,11.55745687,11581,13.6393133,33.5
2.385716602,277.0664945,8.764042284,13489,16.87533599,40
2.148902687,280.6220401,12.94004184,13526,7.111971811,45
2.735422305,347.8563396,10.2042047,17572,20.94721001,50
2.400793781,351.9574321,20.24971156,17477,17.08704672,56
2.334216171,345.3249605,19.72571209,17664,17.0228029,61.5
3.265308016,428.8282904,14.3848314,25575,21.25842675,67
2.88737385,429.2724708,22.81650385,25329,19.91687797,73
3.132674837,429.179061,23.68659827,25621,23.19974451,78.5
3.067008711,475.6334509,25.19700161,24458,26.92840737,85
1.598976512,219.9523038,5.232525571,12082,5.427301647,22.4
1.621138254,225.8582835,8.560630662,11996,5.333240837,28
1.894061628,285.9712606,13.2984385,11928,4.303204074,33.5
2.286911732,362.1493391,9.931037135,14514,8.907024563,40
2.460995874,358.5890849,15.6277147,14658,10.03680608,45
2.330250774,360.5644651,17.83102309,23530,7.636721067,50.4
1.950454093,384.2687803,20.53709782,23157,12.3801878,56
2.286692272,383.5982461,16.74141175,25946,15.98066615,61.5
1.901903387,249.3603008,6.182197731,11290,5.619951465,22.4
1.76090468,243.131397,6.808650215,11427,2.703999804,28
2.076419998,292.3110901,6.450474962,12268,10.94892351,33.5
1.81914806,348.3969296,9.646777734,12653,6.223762493,40
2.333329812,379.7333719,14.38563655,18286,13.39948903,50
2.58408679,404.6006301,11.83164941,21413,12.44749053,56
2.57657953,402.2403285,15.71223155,21569,7.458033696,61.5
3.94006508,575.1347989,13.3949921,24461,20.32799358,68
3.519538257,635.7632119,18.22780672,24493,17.72929612,72.5
3.118257201,697.9152782,12.17866314,24438,16.81401005,80
1.335585556,202.2145796,1.668591062,10647,7.306127229,22.4
1.477408355,199.7445863,6.96058715,13893,7.057784127,33.6
2.417505601,228.8870706,9.974867742,15850,13.76882986,40
2.18990045,264.0619725,15.15734637,15824,10.09993235,45
2.15681249,296.3055369,15.15054739,17784,8.783827508,50.4
2.1362693,299.2857877,11.17547289,17842,4.048442898,56
2.247214591,301.4215486,16.01842104,17799,9.249717507,61.6
1.684585295,361.791773,15.89646796,19036,14.01022925,67.2
2.118723367,360.6141401,22.13452519,19200,10.38698194,72.8
1.978943342,186.3972872,3.987643753,10697,4.527263711,22.4
1.543470418,200.3365351,6.1210222,20866,1.34462404,28
1.823214109,213.252748,10.02090079,13687,8.709118252,33.6
2.184600913,239.909886,8.625619536,15812,7.988812315,40
2.19162281,270.4318215,13.41575807,15865,7.287893948,45
2.354627667,307.1685231,12.44481564,17902,14.02762282,61.6
2.471195082,360.3107606,13.73280143,19067,10.72923861,67.2
2.144891172,362.5325364,19.06454322,19193,17.80469922,72.8
1.714229641,197.0082845,3.133284189,14915,8.095642687,22.4
1.851122763,215.967975,6.72829793,14736,7.966883864,28
1.254996923,215.9408929,6.848164543,14712,9.239187685,33.6
1.946760236,237.1836205,8.690663169,19754,11.57885192,39.2
2.519215532,237.1707806,9.254819865,19876,10.83355633,44.8
1.988172759,299.8580728,9.174130071,19665,20.3464631,50.4
2.034903992,300.8694768,11.81424121,19856,16.84025864,56
2.118706575,301.1721232,17.88921702,19576,11.62097443,61.6
2.04362328,309.8777848,18.48116504,19692,17.10549319,67.2
2.266048681,311.4354561,23.51420202,19632,15.68480633,72.8
1.828708815,190.334352,4.823716236,10324,6.579909872,22.4
1.569863965,189.3784312,7.093693867,10673,2.976207291,28
1.822463317,212.2514996,7.085579967,11826,9.073923579,33.5
2.217532125,270.3325552,11.36392006,14754,7.266712366,40
2.593231941,313.3290312,6.929923286,15962,10.74296694,45
2.166782813,310.1561998,13.80899482,15715,3.764125525,50
2.529264748,345.5073642,13.52846932,20195,13.60396714,56
2.465045237,363.1105224,10.32688032,20196,11.59547967,61.5
2.459778062,366.4613284,16.57545969,21355,15.752704,67
1.039503233,170.757941,3.780688582,7635,2.140446415,22.4
1.514336924,169.6671905,10.81599672,9656,0.293782816,28
1.999748256,216.4480942,6.611630374,9848,7.522887383,22.4
1.437278888,210.3265564,7.396237667,10654,6.945493177,28
1.967380765,209.9272953,9.127103172,10911,8.305528283,33.5
1.609905181,292.0879605,10.9336394,12203,11.39483067,45
1.920246324,315.7639583,17.76920001,12156,9.230440489,50
1.712729348,206.501071,3.355409895,10603,3.803511367,22.4
2.059562467,211.3575667,7.852424405,10587,3.246012794,28
2.163331373,230.2598031,7.988954257,11853,8.117499798,33.5
2.186830084,335.0318306,16.52240152,15989,8.880505404,45
2.313310193,333.7279613,13.39707494,15648,15.9659779,50
2.523457724,383.0783153,20.3552934,20153,10.84978602,56
2.324360879,393.3726738,22.39086029,20307,11.52060439,61.5
1.633235043,223.1048097,6.348271647,11552,13.54268631,28
1.613910265,221.8639826,3.915270403,12294,6.274487492,33.5
1.505482195,247.7906347,10.61147064,13816,7.194960286,40
1.864358985,247.228868,10.46684861,13885,11.33507697,45
2.294150702,282.6006595,13.95532976,17524,7.251406658,50.4
2.30591319,366.6345825,15.77647123,17445,7.822051474,56
2.193510615,368.1694175,15.13659129,18380,7.523194077,61.5
2.3676126,369.0676281,17.64423025,18551,11.59164935,68
1.983121709,374.173056,17.23256218,19567,9.426449768,73.5
1.689240962,254.6566991,7.733114355,11671,14.41755844,22.4
1.581599445,255.518244,4.307741036,11600,12.81346495,28
1.964496643,282.0276086,9.03190139,13449,10.07561631,33.5
1.870208068,282.0241371,10.02945105,13551,10.55404082,40
2.477456714,279.0961308,13.77752509,14335,8.517726242,45
2.593992245,276.929514,17.10078054,14051,12.29602729,50
2.002902538,226.9750906,7.845442815,12401,8.462839021,25
1.853978122,225.1729124,9.446494718,12374,8.165876894,28
1.441395421,225.7132522,8.33371188,12306,8.761609496,33.5
2.425765363,294.7685654,15.0367846,14410,11.76629579,40
1.930065515,287.7961483,19.2576025,14655,8.412465615,45
2.669863687,430.9598936,10.49841275,19273,12.44195316,50
1.962225456,432.8989415,17.5129668,21387,14.17065037,56
2.646083274,429.5009591,13.64694386,22547,19.16662384,61.5
1.704019672,224.8749198,9.238235146,12318,9.395534801,28
2.234419331,219.3576976,5.798503076,12429,11.29414282,33.5
2.15995476,291.9639815,13.17385068,14545,12.71319204,40
2.374920795,290.0264946,12.78782355,14368,8.82000924,45
2.805921716,287.5983944,13.04203234,14206,13.14131552,50
2.951582229,428.6613931,18.42638076,26196,21.84254102,56
2.499156294,425.2430175,22.63000526,26474,16.06101367,67
2.691912605,464.8391647,20.63954364,27477,19.75361404,73
2.722487255,489.5039205,23.34879927,27514,22.68441815,78.5
2.643251995,487.1732871,26.29989281,27534,25.29090508,85
2.711685093,486.7305722,25.91467579,27576,23.29340627,90
1.90506165,224.6378572,4.573733396,12456,3.236820627,25
1.655318846,226.4857654,9.210457938,12572,7.249034979,28
2.048759244,223.4059462,6.26402012,12381,11.8796885,33.5
2.288028409,287.4620681,8.798669741,14547,11.04600773,40
2.548259021,288.5541085,13.55763391,14607,12.67339522,45
2.395200349,286.9242455,16.61691628,14482,12.06063271,50
2.622383086,428.9338255,19.74208774,26249,19.48872588,61.5
2.956363621,430.5296267,22.85514978,26477,17.28410475,67
3.375261601,451.9320899,22.55423643,27639,17.17182405,73
3.530066359,486.4482373,26.81151354,27690,17.36552507,85
3.075451814,490.9153444,31.97565877,27685,25.06998432,90
2.367941356,278.7036771,5.248375096,15334,9.811019044,25.4
2.169514084,280.5071227,7.301733456,15334,9.537736363,28.9
1.947895387,277.4328309,6.992364437,15483,6.197002237,34.8
2.012394045,277.7013091,7.695494184,15528,7.949500129,41.5
2.130606836,342.5032053,15.63066297,16777,8.831104459,51.5
2.775127728,340.6180121,14.15739809,16833,13.43572389,57.8
2.397019527,369.8035289,18.17670528,16699,9.570649508,63.7
2.419802611,370.2481121,23.67036149,16679,7.088268111,70.4
0.839151663,79.82861513,1.872413748,4105,5.11587714,9
1.444053196,121.5152255,2.282424009,7062,5.202799629,15
0.528905929,119.2518414,4.18939339,6804,3.055929981,15
1.030469852,122.4513371,5.622439691,6943,4.30236424,18
2.074676309,242.338209,8.759676838,11900,10.17768771,22.6
2.025293091,238.1759043,5.647627461,11596,11.87345755,28
2.557679754,357.4624404,11.58504893,14531,8.369830745,33.5
2.409032363,363.8495909,8.592665392,14592,11.9535168,40
1.75924919,239.3441725,8.218113357,11477,12.19026625,23.9
2.096374255,240.5674754,9.454040135,11435,8.004342118,29.3
2.415141519,365.3096904,10.30384917,14722,6.341099097,35.1
2.415153474,366.4969857,16.44688152,14338,6.669070999,41.7
2.53987238,366.9651845,8.423985941,14596,9.605869697,45
0.648395163,106.8010876,2.163860251,7472,5.132674496,12.1
1.362724058,106.9794527,2.597394245,7654,5.731034242,14
1.004683794,106.2273453,4.619434965,7863,3.595620055,15.5
1.516466519,150.1997499,5.529516498,10756,1.139349603,22.6
1.462764293,149.684651,9.894729188,10491,5.911744674,28
1.207996169,148.727683,9.430566245,10483,6.13016287,31.5
2.093391591,222.0893842,2.628266312,11396,13.5766075,25.2
1.648822413,222.9084152,5.182789294,11534,9.17068101,28
1.773722304,225.4275964,10.03461745,12459,7.210455355,33.5
1.641045348,245.9676448,14.11537222,14050,11.82619645,40
1.817823263,241.04909,15.55794381,14039,7.986384973,45
1.939067208,281.1385859,16.40397571,17490,6.346904979,50.4
2.778627218,370.3917999,15.99141745,17270,6.920138875,56
2.349464346,372.8054643,18.82294373,18572,10.28913614,61.5
2.242634139,370.5787521,22.53710511,18558,13.378645,68
2.445690828,371.3059224,25.99779393,18343,9.999684094,73.5
1.453319588,246.7497827,8.772315426,12537,11.51183614,22.4
1.876031987,244.5040736,9.716365072,12501,11.03291626,28
1.582072172,258.7602519,9.00761626,13955,10.90410626,33.5
1.643210805,254.1715594,10.54732852,13955,8.811344738,40
2.527595836,365.8917146,15.39448313,17418,12.91501852,45
2.521203339,364.4886375,18.06532101,17453,7.915195044,50
1.779595644,371.5159445,18.56902768,19343,11.83164844,56
2.433030041,375.2335771,19.68923227,19506,8.733089489,60
1.775448979,267.0312207,10.66938766,12477,8.54458146,22.4
2.09645969,274.6391081,7.751182487,12262,11.96000146,28
2.076966683,276.1267999,9.630609548,12450,10.46178636,33.6
2.867230577,367.6255818,11.90871439,15873,16.31085539,39.2
2.426609622,381.8627907,12.6765289,17556,14.80137702,44.8
2.835456151,415.7654,18.67580631,21281,11.5787629,56
2.56135128,410.9478792,18.22640515,21531,12.16697841,61.6
3.262185564,443.2422823,27.54954775,23825,12.8994328,78.4
1.387386489,130.3688887,7.026745839,9335,9.094065961,22.4
0.812881809,130.5134765,9.579475096,10064,4.246493413,28
1.949239956,210.6677283,3.421200946,14053,7.936871691,22.4
1.932490713,211.6509725,7.661606855,14121,4.253957598,28
2.460822626,314.9355595,6.976942815,14508,6.533734085,40
2.5792867,315.2434786,13.94702885,14403,9.680258032,45
3.003309556,376.4932653,13.94549179,24619,9.220361733,50
3.426441957,374.4304313,21.09925141,24783,11.23774989,56
2.613547474,261.4410785,0.97816481,13026,5.878885972,22.4
2.442447651,264.0924267,5.152132163,13661,10.48685472,28
2.763062536,288.0859767,10.71486069,14201,7.048831904,33.5
2.418718308,332.998982,12.89381902,14288,8.199011766,45
1.55170807,226.6611417,1.962230523,9492,5.005166478,14
1.770819372,229.095989,3.073120391,9399,1.976176679,16
2.155403945,244.3902622,4.638716244,10428,11.60290909,22.4
2.262766795,243.5746445,9.668610942,10978,8.081531124,28
1.722040245,240.0420662,8.340300546,12138,10.54765339,33.5
2.210811202,328.3632603,13.54914983,12441,12.09271871,40
